Date,Remarks,SSC_Conc
7/1/76,,214
7/2/76,,244
7/3/76,,256
7/4/76,,274
7/5/76,,299
7/6/76,,304
7/7/76,,294
7/7/76,,299
7/8/76,,245
7/9/76,,224
7/10/76,,266
7/11/76,,232
7/12/76,,256
7/13/76,,237
7/14/76,,256
7/15/76,,252
7/16/76,,260
7/17/76,,268
7/19/76,,300
7/20/76,,249
7/21/76,,212
7/22/76,,203
7/23/76,,242
7/24/76,,231
7/25/76,,240
7/26/76,,260
7/27/76,,267
7/28/76,,245
7/29/76,,238
7/30/76,,224
7/31/76,,282
8/1/76,,253
8/3/76,,278
8/4/76,,246
8/4/76,,244
8/5/76,,224
8/6/76,,212
8/7/76,,202
8/8/76,,200
8/9/76,,234
8/10/76,,168
8/11/76,,174
8/12/76,,164
8/13/76,,197
8/14/76,,218
8/16/76,,169
8/17/76,,146
8/18/76,,135
8/19/76,,129
8/20/76,,125
8/21/76,,127
8/22/76,,139
8/23/76,,142
8/25/76,,148
8/26/76,,124
8/27/76,,125
8/28/76,,108
8/29/76,,138
8/30/76,,134
8/31/76,,116
9/1/76,,108
9/1/76,,108
9/2/76,,125
9/3/76,,123
9/4/76,,120
9/5/76,,131
9/6/76,,113
9/7/76,,144
9/8/76,,104
9/9/76,,104
9/10/76,,99
9/11/76,,93
9/12/76,,118
9/13/76,,118
9/14/76,,129
9/15/76,,137
9/16/76,,126
9/17/76,,124
9/18/76,,116
9/19/76,,108
9/20/76,,112
9/21/76,,108
9/22/76,,96
9/23/76,,86
9/24/76,,89
9/25/76,,99
9/26/76,,86
9/27/76,,86
9/28/76,,75
9/29/76,,91
9/30/76,,81
10/1/76,,100
10/1/76,,88
10/1/76,,88
10/2/76,,104
10/3/76,,120
10/4/76,,106
10/5/76,,110
10/6/76,,114
10/7/76,,110
10/8/76,,104
10/9/76,,96
10/10/76,,92
10/11/76,,86
10/12/76,,80
10/13/76,,76
10/14/76,,72
10/15/76,,70
10/16/76,,62
